Scan:    530 SDSSJ001847.44+3 2015-10-27 +06 05 00.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -253.9059752727963541      0.0048665
    -253.3031411118774088      0.0094288
    -252.7003045244473185      0.0112323
    -252.0974655106059572      0.0104594
    -251.4946240702534510     -0.0026104
    -250.8917802033232363      0.0136629
    -250.2889339099484118      0.0133057
    -249.6860851899959073     -0.0013533
    -249.0832340434989760      0.0109031
    -248.4803804704243362      0.0096108
    -247.8775244708052412     -0.0064512
    -247.2746660445419025      0.0061189
    -246.6718051917341370      0.0040463
    -246.0689419122155073      0.0153549
    -245.4660762061524792     -0.0071431
    -244.8632080733785585     -0.0196998
    -244.2603375139271122     -0.0007714
    -243.6574645278313938     -0.0092727
    -243.0545891149915008      0.0004547
    -242.4517112754741106      0.0108448
    -241.8488310092125744     -0.0049141
    -241.2459483162068636     -0.0161917
    -240.6430631964237818      0.0102303
    -240.0401756499298358      0.0025583
    -239.4372856765919551      0.0057109
    -238.8343932764765896     -0.0086320
    -238.2314984495838530      0.0007758
    -237.6286011957805897     -0.0181351
    -237.0257015151998701      0.0048695
    -236.4227994077086237      0.0152561
    -235.8198948734066960     -0.0174630
    -235.2169879121276210      0.0027915
    -234.6140785240378932     -0.0087643
    -234.0111667089377647     -0.0064508
    -233.4082524669936163      0.0005543
    -232.8053357980390956      0.0079804
    -232.2024167021407379     -0.0009450
    -231.5994951792652614      0.0051740
    -230.9965712294126945     -0.0011209
    -230.3936448525829803      0.0001766
    -229.7907160486430485      0.0109068
    -229.1877848177592796     -0.0152616
    -228.5848511597652362     -0.0080702
    -227.9819150747275387      0.0214348
    -227.3789765625795667     -0.0009379
    -226.7760356233879691      0.0008269
    -226.1730922570527866      0.0063108
    -225.5701464636073581      0.0003845
    -224.9671982430184016     -0.0086673
    -224.3642475952859456     -0.0051588
    -223.7612945204099333      0.0056812
    -223.1583390182905191      0.0222997
    -222.5553810890608872     -0.0050408
    -221.9524207325212899     -0.0148789
    -221.3494579488381646     -0.0062516
    -220.7464927378450739     -0.0056891
    -220.1435250996418915     -0.0022013
    -219.5405550341287721      0.0059843
    -218.9375825414055328     -0.0077353
    -218.3346076213057927     -0.0073376
    -217.7316302739293974     -0.0072315
    -217.1286504992430366     -0.0021009
    -216.5256682971468649      0.0082725
    -215.9226836677740096     -0.0165014
    -215.3196966109581183     -0.0073061
    -214.7167071267989513     -0.0139653
    -214.1137152151967200     -0.0276646
    -213.5107208762512698     -0.0117544
    -212.9077241097961348     -0.0095208
    -212.3047249159312173     -0.0019523
    -211.7017232945899252     -0.0143229
    -211.0987192458055404     -0.0097736
    -210.4957127694782457     -0.0190937
    -209.8927038657078299      0.0034015
    -209.2896925344277577      0.0084645
    -208.6866787755382120      0.0049607
    -208.0836625891723202     -0.0014947
    -207.4806439751636162      0.0118644
    -206.8776229336452275      0.0048948
    -206.2745994644840835      0.0033719
    -205.6715735677800012      0.0026044
    -205.0685452433998535      0.0083246
    -204.4655144914102038      0.0003300
    -203.8624813117444603     -0.0089977
    -203.2594457044359331     -0.0001360
    -202.6564076694846506      0.0050538
    -202.0533672067574287      0.0090210
    -201.4503243163874231      0.0104891
    -200.8472789982414781      0.0030308
    -200.2442312523861858     -0.0061121
    -199.6411810787549825      0.0043746
    -199.0381284773811217      0.0053906
    -198.4350734481980680      0.0084619
    -197.8320159912391034      0.0042728
    -197.2289561064376358     -0.0123474
    -196.6258937938602571     -0.0002392
    -196.0228290534403754     -0.0110778
    -195.4197618851114555     -0.0070652
    -194.8166922889733144      0.0042426
    -194.2136202648928531     -0.0152854
    -193.6105458129365786     -0.0019398
    -193.0074689330380124     -0.0205285
    -192.4043896252636330     -0.0097133
    -191.8013078894803698      0.0072671
    -191.1982237257880684     -0.0049478
    -190.5951371340868263      0.0125673
    -189.9920481144432642     -0.0161081
    -189.3889566667575082      0.0044664
    -188.7858627910628400     -0.0074333
    -188.1827664873925414     -0.0037964
    -187.5796677555801750     -0.0132313
    -186.9765665957922351      0.0039321
    -186.3734630078289740      0.0047088
    -185.7703569918567723     -0.0003652
    -185.1672485477425596     -0.0055951
    -184.5641376755528427      0.0114196
    -183.9610243751545227      0.0032143
    -183.3579086466807269     -0.0126044
    -182.7547904899650462      0.0083070
    -182.1516699051406079      0.0027177
    -181.5485468921075949     -0.0116794
    -180.9454214508326118      0.0003139
    -180.3422935813823642      0.0004611
    -179.7391632836569215     -0.0128059
    -179.1360305577228758      0.0057295
    -178.5328954034470712      0.0121494
    -177.9297578209626636      0.0000902
    -177.3266178101365256      0.0018736
    -176.7234753710351924     -0.0161687
    -176.1203305035588471     -0.0095696
    -175.5171832077740532      0.0029454
    -174.9140334836807824      0.0014290
    -174.3108813311459073      0.0053317
    -173.7077267502693019     -0.0030837
    -173.1045697409510922     -0.0149336
    -172.5014103032578703      0.0070048
    -171.8982484370897623     -0.0038828
    -171.2950841425466137      0.0145607
    -170.6919174194620155      0.0128583
    -170.0887482680024050     -0.0084244
    -169.4855766879680630     -0.0030300
    -168.8824026794921735     -0.0126766
    -168.2792262424414673     -0.0079274
    -167.6760473769492137     -0.0070125
    -167.0728660828822569      0.0024683
    -166.4696823602072584     -0.0025512
    -165.8664962089908101      0.0166217
    -165.2633076291663485     -0.0034040
    -164.6601166207671554      0.0069111
    -164.0569231836934136     -0.0027044
    -163.4537273180448835      0.0016682
    -162.8505290237218048      0.0035534
    -162.2473283007574594     -0.0067784
    -161.6441251490519448      0.0031565
    -161.0409195687384170      0.0174776
    -160.4377115597170302      0.0026906
    -159.8345011218879108      0.0041075
    -159.2312882554174962     -0.0148819
    -158.6280729601060671     -0.0094641
    -158.0248552360868075      0.0175023
    -157.4216350832598437      0.0015835
    -156.8184125016916823      0.0038879
    -156.2151874912492815      0.0166858
    -155.6119600520324582      0.0210087
    -155.0087301839080567     -0.0132610
    -154.4054978870092043     -0.0099089
    -153.8022631612360840      0.0110286
    -153.1990260065221037     -0.0038122
    -152.5957864229671372     -0.0039562
    -151.9925444104380574      0.0055053
    -151.3892999690346528      0.0121923
    -150.7860530986571348     -0.0069528
    -150.1828037993720386     -0.0029191
    -149.5795520710462654      0.0023569
    -148.9762979137796322     -0.0086293
    -148.3730413275055753     -0.0026876
    -147.7697823122241232      0.0015554
    -147.1665208678686838      0.0033139
    -146.5632569945390742     -0.0027939
    -145.9599906921355057      0.0018577
    -145.3567219606246681     -0.0020978
    -144.7534508000398716     -0.0066634
    -144.1501772103477776      0.0144063
    -143.5469011915484145      0.0071526
    -142.9436227436085289     -0.0007371
    -142.3403418665280640     -0.0115604
    -141.7370585602737947      0.0056216
    -141.1337728248789176      0.0139931
    -140.5304846602104192      0.0047031
    -139.9271940664345948     -0.0064075
    -139.3239010434184024     -0.0115629
    -138.7206055910952500     -0.0157957
    -138.1173077095982364     -0.0380679
    -137.5140073987942628     -0.0073336
    -136.9107046587498928     -0.0130446
    -136.3073994893652809     -0.0226823
    -135.7040918907069624      0.0091225
    -135.1007818627084021      0.0078546
    -134.4974694054028532      0.0081585
    -133.8941545186905273      0.0031065
    -133.2908372026711845      0.0017169
    -132.6875174572450362      0.0151883
    -132.0841952824120824      0.0172095
    -131.4808706781722947      0.0127886
    -130.8775436444923912      0.0136953
    -130.2742141814056822      0.0189794
    -129.6708822888123223      0.0196982
    -129.0675479668121000      0.0026757
    -128.4642112152719449      0.0157213
    -127.8608720342916882      0.0301023
    -127.2575304237381886      0.0122983
    -126.6541863837113056      0.0258612
    -126.0508399140778977      0.0306433
    -125.4474910149378104      0.0320045
    -124.8441396862577761      0.0344673
    -124.2407859279046534      0.0372410
    -123.6374297400115694      0.0527108
    -123.0340711224454111      0.0695468
