Scan:    641 2MASSJ00294+2424 2015-10-28 +04 03 08.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -135.7060917729030223      0.0008007
    -135.1027731464398585      0.0153929
    -134.4994520905699176      0.0091253
    -133.8961286053263962      0.0133784
    -133.2928026905761953      0.0311741
    -132.6894743464192175      0.0255911
    -132.0861435727555317      0.0205503
    -131.4828103696517587      0.0147690
    -130.8794747370413347      0.0069746
    -130.2761366748909211      0.0276340
    -129.6727961832671383      0.0299835
    -129.0694532621033943      0.0007024
    -128.4661079113331255     -0.0004929
    -127.8627601310562056      0.0309231
    -127.2594099211394507      0.0181009
    -126.6560572816494670      0.0090392
    -126.0527022125862544      0.0183118
    -125.4493447138166573      0.0265445
    -124.8459847854738172     -0.0121559
    -124.2426224274579027     -0.0096862
    -123.6392576397356038      0.0104131
    -123.0358904223735124      0.0127918
    -122.4325207752717546      0.0117232
    -121.8291486984636123      0.0099364
    -121.2257741919824099      0.0088771
    -120.6223972556616815     -0.0024621
    -120.0190178896345685      0.0003009
    -119.4156360938678176      0.0107088
    -118.8122518682282731      0.0020205
    -118.2088652128490480      0.0047410
    -117.6054761276636214      0.0012129
    -117.0020846125721192      0.0028069
    -116.3986906677076831     -0.0068775
    -115.7952942929371432     -0.0058098
    -115.1918954882938380     -0.0054659
    -114.5884942538110209     -0.0122557
    -113.9850905893555648     -0.0131132
    -113.3816844949940190     -0.0061512
    -112.7782759707264120      0.0043215
    -112.1748650164861516      0.0212640
    -111.5714516323065340     -0.0080263
    -110.9680358180877136     -0.0067589
    -110.3646175739295217     -0.0065328
    -109.7611968997654230      0.0068696
    -109.1577737955288114      0.0112965
    -108.5543482612862931      0.0047519
    -107.9509202970378396     -0.0032204
    -107.3474899026170277      0.0074210
    -106.7440570781903091     -0.0198865
    -106.1406218236245280     -0.0008989
    -105.5371841389862482      0.0070021
    -104.9337440242421877      0.0024806
    -104.3303014792592336      0.0023749
    -103.7268565042037665      0.0126295
    -103.1234090989759551     -0.0092726
    -102.5199592635092358     -0.0111161
    -101.9165069979034683      0.0006129
    -101.3130523020920606     -0.0170798
    -100.7095951759751813     -0.0034013
    -100.1061356196859577      0.0016344
     -99.5026736330579524      0.0198601
     -98.8992092162576313      0.0057939
     -98.2957423691185284     -0.0097602
     -97.6922730916406721     -0.0041476
     -97.0888013839238937     -0.0126719
     -96.4853272458350801     -0.0046199
     -95.8818506773742172      0.0048634
     -95.2783716786078685      0.0039381
     -94.6748902494029210     -0.0006671
     -94.0714063898592059     -0.0039033
     -93.4679200999101454     -0.0079312
     -92.8644313794891900     -0.0139813
     -92.2609402286962137     -0.0050304
     -91.6574466474313283      0.0099054
     -91.0539506356945338      0.0092787
     -90.4504521934858445      0.0099980
     -89.8469513207387109      0.0028526
     -89.2434480175529501     -0.0052295
     -88.6399422838287165      0.0060527
     -88.0364341195327427      0.0087038
     -87.4329235247315779     -0.0003459
     -86.8294104993586870     -0.0050198
     -86.2258950433474638      0.0060017
     -85.6223771567977820     -0.0003309
     -85.0188568396097821     -0.0017289
     -84.4153340918167459      0.0117660
     -83.8118089133854056      0.0128028
     -83.2082813042491694      0.0265021
     -82.6047512645079252      0.0248896
     -82.0012187940950668      0.0164516
     -81.3976838929107487      0.0186846
     -80.7941465610548448      0.0147384
     -80.1906067984940591      0.0113379
     -79.5870646051285320      0.0231383
     -78.9835199810581230      0.0271016
     -78.3799729261496907      0.0365402
     -77.7764234405031232      0.0310916
     -77.1728715240850676      0.0584417
     -76.5693171767957210      0.0437531
     -75.9657603987016614      0.0303651
     -75.3622011897695643      0.0375592
     -74.7586395499328944      0.0244304
     -74.1550754792914830      0.0345410
     -73.5515089776789068      0.0618262
     -72.9479400452283357      0.0644501
     -72.3443686818398817      0.0681887
     -71.7407948874802912      0.0539107
     -71.1372186622493956      0.0581342
     -70.5336400060140534      0.0698381
     -69.9300589187742929      0.0873421
     -69.3264754005633534      0.0886987
     -68.7228894513147281      0.0867381
     -68.1193010711282056      0.0973905
     -67.5157102598707013      0.1117025
     -66.9121170175088906      0.1228737
     -66.3085213441426617      0.1256283
     -65.7049232396721408      0.1288218
     -65.1013227040640459      0.1474359
     -64.4977197374182367      0.1590056
     -63.8941143396015718      0.1612936
     -63.2905065106806148      0.1627236
     -62.6868962505888092      0.1809047
     -62.0832835592928660      0.1895787
     -61.4796684368593560      0.1852704
     -60.8760508832549903      0.1946235
     -60.2724308983466415      0.2008900
     -59.6688084823007117      0.2117894
     -59.0651836349840806      0.2127823
     -58.4615563563634666      0.2265732
     -57.8579266465387150      0.2394990
